player,player_id,position,team_name,player_game_count,grades_defense,snap_counts_defense,,
Rayshawn Jenkins,11868,S,JAX,17,60.9,1099,,
Jeremiah Ledbetter,11960,DI,JAX,17,49,369,,
Caleb Johnson,12488,LB,JAX,1,59.9,1,,
Foyesade Oluokun,24904,LB,JAX,17,75.2,1110,,
DaVon Hamilton,28072,DI,JAX,8,36.2,190,,
Folorunso Fatukasi,38558,DI,JAX,16,61,415,,
Daniel Thomas,42544,S,JAX,6,51.6,14,,
Andrew Wingard,49268,S,JAX,17,79.4,330,,
Josh Allen,50235,ED,JAX,17,89.5,880,,
Tre Herndon,50380,CB,JAX,16,70.8,482,,
Shaquille Quarterman,51048,ED,JAX,4,58.6,8,,
Darious Williams,55724,CB,JAX,17,79.5,1035,,
Montaric Brown,55797,CB,JAX,9,51.3,475,,
K'Lavon Chaisson,57945,ED,JAX,17,54.7,283,,
Devin Lloyd,58238,LB,JAX,15,78.1,966,,
Tim Jones,61669,WR,JAX,1,60.1,1,,
Chad Muma,75818,LB,JAX,11,38.1,146,,
Andre Cisco,76641,S,JAX,15,68.9,848,,
Tyler Lacy,76836,DI,JAX,15,58.2,145,,
Yasir Abdullah,77100,ED,JAX,5,30.7,45,,
Tyson Campbell,83217,CB,JAX,11,61.5,589,,
Tevaughn Campbell,91247,CB,JAX,1,60.3,1,,
Travon Walker,98940,ED,JAX,17,53.9,869,,59.51481481
Brenton Strange,101694,TE,JAX,1,69.1,1,,
